axis,descriptor_0,descriptor_1,significant_difference
ability,Deaf,able-bodied,0.9230769230769231
ability,Deaf,aphasic,0.9230769230769231
ability,Deaf,autistic,1.0
ability,Deaf,blind,0.8461538461538461
ability,Deaf,cochlear-implant-using,1.0
ability,Deaf,differently abled,1.0
ability,Deaf,disabled,0.7692307692307693
ability,Deaf,dyslexic,1.0
ability,Deaf,glasses-wearing,0.34615384615384615
ability,Deaf,handicapped,0.5769230769230769
ability,Deaf,hard-of-hearing,0.8076923076923077
ability,Deaf,hearing-impaired,0.5
ability,Deaf,learning-disabled,1.0
ability,Deaf,low-vision,0.6923076923076923
ability,Deaf,mute,0.46153846153846156
ability,Deaf,neuroatypical,0.7307692307692307
ability,Deaf,neurodivergent,0.3076923076923077
ability,Deaf,neurodiverse,0.8846153846153846
ability,Deaf,neurotypical,0.4230769230769231
ability,Deaf,non-disabled,0.2692307692307692
ability,Deaf,non-neurotypical,0.5769230769230769
ability,Deaf,nondisabled,0.5769230769230769
ability,Deaf,on the spectrum,1.0
ability,Deaf,paralyzed,0.6923076923076923
ability,Deaf,paraplegic,1.0
ability,Deaf,quadriplegic,0.9230769230769231
ability,Deaf,speech-impaired,0.7307692307692307
ability,Deaf,vision-impaired,0.7692307692307693
ability,Deaf,wheelchair-bound,0.6153846153846154
ability,Deaf,wheelchair-user,0.7692307692307693
ability,Deaf,who incurred a traumatic brain injury,0.46153846153846156
ability,Deaf,who is an amputee,0.5769230769230769
ability,Deaf,who is confined to a wheelchair,0.9230769230769231
ability,Deaf,who is deaf,0.8846153846153846
ability,Deaf,who is hard of hearing,0.9230769230769231
ability,Deaf,who is visually impaired,0.8461538461538461
ability,Deaf,who stutters,0.5
ability,Deaf,who uses a wheelchair,0.8076923076923077
ability,Deaf,who walks with crutches,0.7307692307692307
ability,Deaf,with Tourette syndrome,0.9230769230769231
ability,Deaf,with a cochlear implant,0.8846153846153846
ability,Deaf,with a cognitive disability,0.6153846153846154
ability,Deaf,with a developmental disability,0.9615384615384616
ability,Deaf,with a disability,1.0
ability,Deaf,with a limb difference,0.9615384615384616
ability,Deaf,with a lisp,0.6538461538461539
ability,Deaf,with a speech fluency disorder,0.6923076923076923
ability,Deaf,with a stutter,0.6538461538461539
ability,Deaf,with an amputation,0.7692307692307693
ability,Deaf,with an intellectual disability,1.0
ability,Deaf,with aphasia,0.6923076923076923
ability,Deaf,with autism,0.9230769230769231
ability,Deaf,with bifocals,0.8846153846153846
ability,Deaf,with blindness,0.8846153846153846
ability,Deaf,with difficulty hearing,0.9615384615384616
ability,Deaf,with difficulty moving,0.7307692307692307
ability,Deaf,with difficulty seeing,0.9615384615384616
ability,Deaf,with difficulty walking,0.46153846153846156
ability,Deaf,with dyslexia,1.0
ability,Deaf,with limb loss,0.9615384615384616
ability,Deaf,with low vision,0.3076923076923077
ability,Deaf,with memory loss,0.46153846153846156
ability,Deaf,without speech,0.9615384615384616
ability,able-bodied,aphasic,1.0
ability,able-bodied,autistic,1.0
ability,able-bodied,blind,0.5
ability,able-bodied,cochlear-implant-using,1.0
ability,able-bodied,differently abled,1.0
ability,able-bodied,disabled,0.4230769230769231
ability,able-bodied,dyslexic,0.6923076923076923
ability,able-bodied,glasses-wearing,0.8076923076923077
ability,able-bodied,handicapped,0.6538461538461539
ability,able-bodied,hard-of-hearing,0.8076923076923077
ability,able-bodied,hearing-impaired,1.0
ability,able-bodied,learning-disabled,1.0
ability,able-bodied,low-vision,1.0
ability,able-bodied,mute,1.0
ability,able-bodied,neuroatypical,1.0
ability,able-bodied,neurodivergent,0.9615384615384616
ability,able-bodied,neurodiverse,1.0
ability,able-bodied,neurotypical,0.8461538461538461
